id,title,owning_institution,jurisdictions,authority_classes,source_classes,legal_force_or_role,corpus_boundary,coverage_status,access_statuses,access_test_date,recommended_ingestion_method,known_omissions_or_inconsistencies,primary_url
SRC001,legislation.gov.uk work catalogue and Atom feeds,The National Archives / King’s Printer,United Kingdom | England and Wales | Scotland | Northern Ireland,binding-authority,SC01 | SC02 | SC03 | SC06 | SC07,"Official publication metadata and work identities; legal force derives from each instrument, not the catalogue record.","All items exposed by the public legislation.gov.uk Atom catalogue, including primary, secondary, draft and EU-origin types represented by the source.",complete against official enumerated source,verified working,2026-07-25,"Retain the present year-facet enumerated harvest as the legislation source-family pack; publish snapshot, request ledger and exact denominator.","Catalogue presence is not proof of complete text, revision, commencement or effect coverage. Some classes are metadata-only.",https://www.legislation.gov.uk/all/data.feed?results-count=1
SRC002,legislation.gov.uk CLML and selected-passage resources,The National Archives / King’s Printer,United Kingdom | England and Wales | Scotland | Northern Ireland,binding-authority,SC01 | SC02 | SC04,"Official text representation for the selected version; users must still establish commencement, extent and effects.",CLML for instruments and subdivisions where XML is held; some older instruments are PDF-only.,progressively resolved,verified working,2026-07-25,"Continue live progressive hydration; cache deterministically by canonical version URL and source hash, never by title alone.",Latest displayed text is not necessarily operative everywhere; XML is unavailable for some historical material.,https://www.legislation.gov.uk/ukpga/2021/1/data.xml
SRC003,legislation.gov.uk effects feeds,The National Archives / King’s Printer,United Kingdom | England and Wales | Scotland | Northern Ireland,binding-authority,SC05,Official editorial records of amendments and other effects; an effect record supports change research but absence is not proof of no effect.,Affected and affecting feeds for instruments/provisions where effects have been recorded.,partially complete,verified working,2026-07-25,Ingest as an evidence-bearing temporal graph with an explicit source-coverage qualifier on every derived “in force” conclusion.,Normally records amendments made from 1994 onwards; several legislation types have incomplete effect coverage.,https://legislation.github.io/data-documentation/api/search.html
SRC004,legislation.gov.uk Publication Log,The National Archives / King’s Printer,United Kingdom,history,SC04 | SC05 | SC25,"Official publication-event feed; evidences publication, republication and withdrawal, not substantive legal effect by itself.","Events for legislation, drafts, associated documents, impact assessments and sets of changes.",partially complete,verified working,2026-07-25,"Use as incremental-refresh trigger, then re-fetch authoritative work/version/effect resources; never treat it as a complete historical audit log.",Some resources published before/around log launch lack events; published dates may not be true original publication dates.,https://www.legislation.gov.uk/update/data.feed
SRC005,legislation.gov.uk associated documents and impact assessments,The National Archives and originating departments,United Kingdom | Devolved jurisdictions,history,SC25,Official explanatory/contextual material; not legislation unless separately enacted or made.,"Associated documents linked from legislation metadata and Publication Log, including explanatory notes, memoranda and UK impact assessments where published.",partially complete,documented but not tested,2026-07-25,"Discover from metadata and Publication Log, hydrate on demand, and label legal role explicitly as history/explanation.",Associated documents are uneven across periods/types; title alone is not a reliable type classifier.,https://www.legislation.gov.uk/update/associated-documents/data.feed
SRC006,legislation.gov.uk draft legislation catalogue,The National Archives / sponsoring institutions,United Kingdom | Scotland | Wales | Northern Ireland,history,SC03,Draft material is non-operative unless and until enacted/made; it is evidence of legislative process and proposed text.,Draft statutory instruments and other draft types represented by official catalogue codes.,complete against official enumerated source,documented but not tested,2026-07-25,Retain in legislation pack with a visually and semantically non-operative status.,A draft title does not prove identity with a later made instrument.,https://www.legislation.gov.uk/draft/data.feed?results-count=20
SRC007,legislation.gov.uk research bulk data and SPARQL surfaces,The National Archives,United Kingdom,binding-authority | history,SC01 | SC04 | SC05,Potential bulk/linked-data access to official corpus; authority remains with source records.,Research Legislation bulk collections and linked-data endpoint as documented by publisher.,access-restricted,authenticated or restricted | verified working,2026-07-25,Register as a preferred future bulk lane but keep public Atom/CLML as the reproducible fallback.,Anonymous access restriction; operational and licensing terms may change.,https://research.legislation.gov.uk/data
SRC008,"legislation.gov.uk EU-origin, retained and assimilated law",The National Archives / Publications Office of the European Union,United Kingdom | European Union origin,binding-authority | history,SC06 | SC32,Domestic legal status depends on UK withdrawal legislation and subsequent amendments; EU source remains essential for origin/history.,"EU legal acts, consolidations, corrigenda and selected treaties published under the statutory UK publication duty.",partially complete,verified working,2026-07-25,Keep UK operative/discovery records in the legislation pack and federate to EUR-Lex/CELLAR for source history and multilingual manifestations.,UK publication is not a substitute for full EUR-Lex historical/preparatory coverage; legal status is not inferable from document presence.,https://www.legislation.gov.uk/eu-origin
SRC009,Find Case Law public service,"The National Archives with MoJ, HMCTS and Judicial Office",England and Wales | United Kingdom for UKSC/JCPC,binding-authority | persuasive-authority,SC09 | SC10 | SC11 | SC12 | SC14,"Official free publication of judgments/decisions; precedential force depends on court, issue, date and later treatment.",England-and-Wales courts/tribunals received for publication plus UKSC and Privy Council; excludes Scottish and Northern Irish courts/tribunals.,partially complete,verified working | verified working,2026-07-25,Harvest metadata and permitted text only under the applicable licence; maintain per-court coverage ledger and live-source verification.,Not all decisions are written or sent; lower-court coverage is selective; appeal status may not be linked; no Scotland/NI corpus.,https://caselaw.nationalarchives.gov.uk/
SRC010,Find Case Law API and computational-analysis licence,The National Archives,England and Wales | United Kingdom for UKSC/JCPC,binding-authority | persuasive-authority,SC09 | SC10 | SC13,Machine access to the official case-law publication; does not alter legal force.,API access to Find Case Law records; bulk computational analysis is separately licensed.,licence-restricted,documented but not tested | verified working,2026-07-25,Create a licence-gated adapter with a no-text public-metadata mode and explicit feature flags.,No licence was obtained or exercised during this research; therefore no bulk operational claim is made.,https://caselaw.nationalarchives.gov.uk/terms-of-use
