id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P01-T01,P01,Barrister,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC10,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P01-T02,P01,Barrister,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P01-T03,P01,Barrister,legal-practice,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P01-T04,P01,Barrister,legal-practice,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P01-T05,P01,Barrister,legal-practice,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P01-T06,P01,Barrister,legal-practice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC10,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P01-T09,P01,Barrister,legal-practice,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P01-T10,P01,Barrister,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P01-T11,P01,Barrister,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P01-T17,P01,Barrister,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
